,Title,Abstract,Keywords,Conclusion,Authors,References
0,Banana Ripeness Indicator Machine Learning,"bananas are a staple food in most developing countries and are considered a ‘superfood’ due to their health benefits. however, they are also the most wasted fruit in the world, generally due to retail outlets throwing them away due to over ripeness. this paper highlights an alternative and more precise method to the conventional human visual tests which are conducted to precisely estimate the ripeness of a banana. the product is made specifically with the small- scale agriculture industry in mind. the device utilizes the internal physico-chemical changes caused by the banana ripening process to estimate its degree of ripeness. utilizing data gathered from colour, ph and moisture sensors, a support vector machine-learning model is created to predict the ‘stage of ripeness’ based on these input parameters. these parameters have undergo significant in the ripening process where colour changes due to decreasing magnesium content, acidity changes due to ratio of acids changing and finally moisture increases as the banana becomes softer. by having a better estimation of the ‘stage of ripeness’, supply-chain efficiency can be increased by allowing bananas to reach retail outlets at the optimal time to reduce wastage. reference adeyemi, o.s., and a. t. oladiji/ “compositional changes in banana (musa ssp.) fruit during ripening.” african journal of biotechnology 8.5 (2009) jamaludin, d., s. abd aziz, and n. u. a. ibrahim. ""dielectric based sensing system for banana ripeness assessment."" international journal of environmental science and development 5.3 (2014): 286 al-daour, ahmed f., mohammed o. al-shawwa, and samy s. abu-naser. ""banana classification using deep learning."" international journal of academic information systems research (ijaisr) 3.12 (2020). biography sunav nambiar is a grade 12 international baccalaureate student at aditya birla world academy, with an interest in pursuing engineering. he has previously co-written and published (at the international conference on water treatment and desalination) papers on the optimization of phenol extraction. he has also completed internships at the indian institute of technology – delhi, focusing on data analytics on meteorological and pollutant changes due to the covid-19 pandemic. 153",,,"sunav nambiar international baccalaureate student aditya birla world academy mumbai, india sunavnambiar1@gmail.com",
1,Single Stage Single Commodity And Multi Period  Warehouse Location Problem (Sscmpwlp),in this paper we pose the location-allocation problem (single stage) with shortages and inventory variables in a style similar to sharma (1991). vimal kumar (2012) gave a novel method of eliminating shortages and this is considered here (this leads to reduced number of variables). next he problem sscmpwlp is formulated in the conventional manner where no variable can be eliminated. we derive a formulation where the resulting 0-1 milp is solved by bender’s decomposition and the associated all real problem is solved by dantzig-wolfe decomposition where the sub problems are posed as min-cost-network flow problems. it offers computational advantages. thus we give three different methods to solve the problem sscmpwlp. an empirical investigation is underway to see which of these three methods perform the best.,,Thus in this paper we have given three methods for solving the SSCMPWLP. We have undertaken an investigation to empirically determine which method does the best. Method three can be accelerated by the inclusion of ‘feasibility’ constraints in the all integer sub problem.,"with location, distribution inventory and shortage costs prof. rrk sharma and piya ghosh industrial and management engineering department indian institute of technology kanpur, india rrks@iitk.ac.in, piyagh@iitk.ac.in prof. kk lai business administration department chaoyang university of technology taichung city, taiwan kklai.tw@gmail.com",
2,Relating Information Technology / Systems (It/S) To  Strategy: An Extended Framework,"in this paper we give 91 hypotheses and 6 conjecturers that relate various aspects of information technology / systems (it/s) as related to the strategy of the firms (cost leadership, differentiation and innovators). these are virtual teams (vts) in track 1, enterprise social media (esm) in track 2, analytics, strategy of organization (cost leadership/differentiation) and types of innovators (continuous innovation, modular innovation, architectural innovation and radical innovation) in track 3 and machine learning, artificial intelligence, types of programming (oop, extreme and scrum) and internet of things (iot) in track 4. these are new hypotheses and have tremendous implications for top management of firms as they go about managing its it/s infrastructure.",,"In this paper we relate different dimensions of IT/S to strategy and type of the firm. This will enable top management of companies to choose right IT/S mix (appropriate relation or organizational variables to strategy of the firm) for their companies for max effectiveness. Also the role of IT professionals to align IT strategy to corporate strategy will be enhanced by this article. The hypotheses given in this paper are picked up from un-referred books (book of working papers, Sharma (2019, 2020 and 2021).","prof. rrk sharma department of industrial and management engineering iit kanpur 208 016, india e-mail: rrks@iitk.ac.in dr. vinayak a drave assistant professor, department of operations & supply chain, jindal global business school, o.p. jindal global university, sonipat, haryana, india and department of business administration chaoyang university of science and technology, taiwan e-mail: vadrave@jgu.edu.in; vinayakontop@gmail.com prof. kk lai chaoyang university of science and technology, taiwan e-mail: laikk.tw@gmail.com",
3,"Improving Material Management In Micro, Small, And  Medium Enterprise (Msme) Using Material Requirement","micro, small, and medium enterprise (msme) is the largest business executor to indonesia's national gross domestic product. due to the size of the company, it is inevitable that msme is required to have an efficient workflow and material purchasing to minimize the costs. one of the most popular sectors of msme is food and beverages, glucofeel is one of them. glucofeel is a company that sells cakes that are tasteful and attractive. based on the company’s data, it is important for glucofeel to be able to fulfil their customer’s demand. these objectives, however, were inhibited by the problem of the company’s inability to make efficient material procurement in order to fulfil the customer demand in the right amount and at the right time. the purpose of this research is to increase the company efficiency by implementing mrp. the mrp will be based on the company's historical data and bill of material. the final calculations of mrp are being totalled and compared to the actual purchasing data. the result of the total calculation shows that if the company has implemented mrp from the beginning, the company can save the amount of rp 115.746,66,‐ in price and make a saving of 6,22%.",bill of material,"Glucofeel company is a Micro, Small, and Medium Enterprises (MSME) food and beverages company which has the problem of company’s inability to determine what materials should be purchased and how much the need and company’s inability to make a production planning in order to fulfill the customer demand in the right amount and on the right time. This problem results in the company to experience a shortage and excess in the purchase of raw materials such as sugar, milk, margarine, etc. To answer this problem, an implementation of Material Requirement Planning is performed in the calculation of raw materials purchasing plan. This method was chosen because it was considered appropriate to answer the problems that were faced by the Glucofeel company. Its objective to perform a better response to customer demand, more efficiency in production control, and to avoid excess in inventory (Heizer & Render, 2011) is also beneficial to fulfill the company customer demand. In comparison, it can be figured that, in demand from February to March, the company can save costs by 6.22% if the company used MRP for their production. The company also makes savings of Rp 115,746.66 if the MRP method has been applied early February. Efficiency generated from MRP calculation is relatively small in percentage. However, in its capacity as MSME, the application of MRP in the purchasing of raw materials saves a lot of money to the company.","planning (mrp) wahyu adiraga digjaya, gemilang ananda nizola, and muhammad ilham bintang department of industrial engineering universitas indonesia depok, indonesia wahyu.adiraga@ui.ac.id , gemilang.ananda@ui.ac.id, muhammad.ilham94@ui.ac.id",
4,Total Quality Environmental Management: Enablers And  Barriers,"the environment has been a significant concern for practitioners in recent years, so the goals related to environmental sustainability encouraged industries to adapt the green practices. this paper explores green operational practices associated with environmental standards and their comparative impacts on indian organisations. a major reason for this study is to gain awareness and understanding of environmental sustainability. the green practices are majorly based on environment management, and we have selected a great philosophy related to environment management, i.e., total quality environmental management (tqem). this leads us to perform a short literature review for quality management and environmental management to identify the critical barriers and enablers of total quality environmental management (tqem) for its sustainability. the findings of this paper will lead the managers and practitioners to carry organisations towards more environmental sustainability.","thailand, and vietnam",and Further Research The outcome of the study is strongly influenced by practitioners of TQEM and suggests that QM can be particularly suitable as a frame of,"khalid hussain ansari department of mechanical engineering axis institute of technology & management kanpur, uttar pradesh, india khalidprod21@gmail.com ashutosh samadhiya and rajat agrawal department of management studies indian institute of technology roorkee roorkee, uttarakhand, india asamadhiya@bm.iitr.ac.in, rajat@ms.iitr.ac.in",
5,Demand Forecasting Comparison Of Softex 1400-M Using  Single Moving Average Method And Single Exponential,"as a company who excels in agriculture, nutrition & health, and home & personal care, it is important for basf to have the ability to forecast future market conditions. one of which is forecasting customers' demand. poor forecasting would create problems in the management of product availability, namely the lack of availability of stock quantities or the amount of excess product stocks. lack of available stock quantities may result in unfulfilled requests from customers, while producing excess stocks may result in losses. hence, the aim of this study is to compare the demand forecast for softex 1400-m, a product manufactured by basf, using the single moving average and single exponential smoothing method by applying mean absolute deviation, mean square error, and mean absolute percentage error. the method applied in this study is a quantitative method. based on the testing result, the method which often depicts the best result is single moving average method with periods length is 5. the demand forecast can support basf to prevent excess or shortage of product stocks.",demand forecasting,"In conclusion, this study examined forecasting methods using single moving average (n=5) and exponential smoothing (α=0.6) to forecast demand sales for Softex 1400-M. Monthly data from January of 2021 to December 2021 were collected and used to forecast the month of 2022 customer of BASF demand. The study revealed that the five months single moving average has higher accuracy then the exponential smoothing with smoothing constant of 0.6. High level of accuracy has been proven through calculation of errors. The result for forecasting the number of demands for the coming month by the Single Moving Average method is 15,952 kgs/month with errors calculated, namely 2,7257 (MAD), 19,6159 (MSD), and 12,8168% (MAPE) whereas by Single Exponential Smoothing method The result for forecasting the number of demands for the coming month is 17,0858 kgs/month with errors calculated, namely 4,5888 (MAD), 61,9394 (MSD), and 15,7311% (MAPE). Therefore, it can be concluded that the five months single moving average method will give a better forecast for the demand in the year 2022 and subsequent months if adopted. This study helps BASF to find out which forecasting method is the most accurate because demand forecasting plays an important role for any company to stay competitive and survive in the global business environment. Therefore, effective forecasting does not only play a crucial role in the production processes but also for suppliers and transports. With effective forecasting, this will help BASF reduce unnecessary inventories and focus on improving product availability and customer satisfaction.","smoothing method alifa taqya shafa nadhira, cherish amarissa gadisku, sarah malemta peranginangin industrial engineering department universitas indonesia depok, indonesia alifa.taqya@ui.ac.id, cherish.amarissa@ui.ac.id, sarah.malemta@ui.ac.id.",
6,Comparing The Accuracy Of Holt’S And Brown’S Double  Exponential Smoothing Method In Forecasting The Coal,"coal is a fossil fuel that is commonly used throughout the world. nowadays, the demand for coal is fluctuating because of several factors. these changes and uncertainties on the demand level of coal requires more attention from the companies because they must determine the accurate level of production in a certain period of time. the accuracy in predicting how much is needed and how much is produced will be very necessary, because it helps the company to fulfill the market needs and to retain customer loyalty. in this paper, we estimate the demand for coal production for the next 6 years in company x using brown’s and holt’s double exponential smoothing method then determine which method is the most accurate. with brown's method, the result obtained is that the maximum value of α parameter is 0.4 and the mape value is 6.74. on the other hand, with holt’s method we got the value of mape is 5.8157, with alpha 0.5867, and gamma 0.14754. by comparing the two methods, we conclude that holt’s method is more accurate in predicting the demand level in the next 6 years than brown’s method, as holt’s method has a smaller value of forecast error.","coal, forecasting demand, holt’s des","From this paper, the forecasting of coal demand is done based on the historical data from the past 11 years. This will help the business owner to be prepared to produce at the same level with the predicted numbers. Using Brown's method, the result obtained is that the maximum value of α parameter is 0.4 and the MAPE value is 6.74. On the other hand, with Holt’s method we got the value of MAPE is 5.8157, alpha = 0.5867, and gamma = 0.14754. By comparing the two methods, we conclude that Holt’s method is more accurate in predicting the demand level in the next 6 years than Brown’s method, as Holt’s method has a smaller value of forecasting error. Our suggestion for future research is to implement and optimize this method to achieve a higher accuracy so that it will be more beneficial for the company in producing the coal in order to meet the customer demand.","demand of company x ajeng rahmawati, charisma nur ramadhanti, firda hanna ismia, rahmat nurcahyo department of industrial engineering faculty of engineering, universitas indonesia kampus ui depok, 16424, indonesia ajeng.rahmawati@ui.ac.id, charisma.nur@ui.ac.id, firda.hanna@ui.ac.id, rahmat@eng.ui.ac.id",
7,Analysis Of Inventory Control Using Economic Order  Quantity Model A Case Study In Pt. Wijaya Agung,"as one of the most critical issues that arise in industries, inventory control is important for operations in the industry. as one of the small and medium enterprises industries in indonesia, pt. wijaya agung hutama is able to apply eoq to solve their problem regarding inventory control of raw materials, especially emal 270n that are used to make the company’s hand soap product. this paper examines the phenomenon in the company based on its historical data from january 2020 until december 2020 and forecasts the demand of emal 270n for the next 12 months of operation. by using the eoq method for controlling inventory, this company can minimize the inventory cost by 88.21% in 2020 and predicted to be reduced by 81.66% in 2021 and determine the most efficient order quantity of each purchase.","inventory control, forecasting","Economic order quantity (EOQ) is a tool to calculate the lot size of order in every purchase. With EOQ, we can optimize the inventory cost by determining the order quantity if there’s no clear inventory control method. Implementation of EOQ brings many advantages for SMEs, especially in inventory management. Min-max method used to determine the inventory cost when the company decides to classify their inventory cost. This method allows us to calculate the inventory cost using maximum used and average used on the inventory based on customer’s demand. From the analysis above, we conclude that the inventory cost by using the EOQ method is far more efficient than using the Min-Max method. In 2020, the optimal order quantity in each purchase activity is 2,146,860.92 gram, 9 times a year, with the total inventory cost being $14,635.59. Same thing with year 2021, the optimal order quantity 480","hutama faiz kevin naufal, farel hylmi hakim, and yasmin aziza putri industrial engineering department universitas indonesia depok, west java, indonesia faiz.kevin@ui.ac.id, farel.hylmi@ui.ac.id, yasmin.aziza@ui.ac.id","References 
Arnold, J. R. T., Chapman, S. N., Clive, L. M., Introduction to Materials Management, 6th Edition, Prentice Hall, 
New Jersey, 2008. 
Çalışkan, C.,. The economic order quantity model with compounding. Omega (United Kingdom), 102. 
https://doi.org/10.1016/j.omega.2020.102307, 2021.  
Dumas, C., Effective Inventory Management in Small to Medium-Sized Enterprises, Mini-Dissertation. North-West 
University, 
Available: 
http://repository.nwu.ac.za/bitstream/handle/10394/2603/dumas_charl_2009.pdf? 
sequence=1&isAllowed=y, 2008.   
Hyndman, R.J., Athanasopoulos, G. (2018) Forecasting: principles and practice, 2nd edition, OTexts, Melbourne, 
Australia. Available: https://OTexts.com/fpp2. Accessed on 10 May 2021 
Jackson, I., Tolujevs, J., Lang, S., & Kegenbekov, Z., Metamodelling of Inventory-Control Simulations Based on a 
Multilayer Perceptron. Transport and Telecommunication, vol. 20, no. 3, pp. 251–259, 2019. 
Muchlisin 
Riadi, 
Pengertian, 
Fungsi 
dan 
Jenis-jenis 
Persediaan 
(Inventory). 
https://www.kajianpustaka.com/2018/02/pengertian-fungsi-dan-jenis-persediaan-inventory.html 
Myttenaere, A., Golden, B., Le Grand, B., Rossi, F. Mean Absolute Percentage Error for regression models, 
Neurocomputing, 
Volume 
192. 
2016. 
Pages 
38-48. 
ISSN 
0925-2312. 
https://doi.org/10.1016/j.neucom.2015.12.114.  
Priharto, 
S. 
Inventory 
Adalah: 
Pengertian, 
Jenis 
dan 
Tips 
dalam 
Mengelolanya. 
https://accurate.id/akuntansi/inventory-adalah-pengertian-jenis-dan-tips-dalam-mengelolanya/ 
Segura, J.V., Vercher, E. A spreadsheet modeling approach to the Holt–Winters optimal forecasting. European Journal 
of 
Operational 
Research. 
Volume 
131, 
Issue 
2. 
2001. 
Pages 
375-388. 
ISSN 
0377-2217. 
https://doi.org/10.1016/S0377-2217(00)00062-X. 
Schmidt, M., Hartmann, W., & Nyhuis, P. (2012). Simulation based comparison of safety-stock calculation methods. 
CIRP Annals - Manufacturing Technology, 61(1), 403–406. https://doi.org/10.1016/j.cirp.2012.03.054 
Stewart, H. M. .School of Industrial and Systems Engineering Georgia Institute of Technology, Available: 
https://www2.isye.gatech.edu/~mgoetsch/cali/logistics_systems_design/forecasting/forecasting.pdf 
Accessed 
on 5 May 2021. 
Sudjatmiko, B., & Sahroni, T. R. (2018). An investigation of optimum safety stock level for maintenance, reliability 
and operation materials based on criticality of material and equipment. International Journal of Supply Chain 
Management, 7(2), 52–61.  
Zellner, M., Abbas, A. E., Budescu, D. V., and Galstyan, A., A survey of human judgement and quantitative 
forecasting methods, Royal Society Open Science, vol. 8, no. 2, pp. 2-3, 2021. 
 
Biography 
Faiz Kevin N. is an undergraduate student at the Industrial Engineering Department of Universitas Indonesia. He is 
currently active as a laboratory assistant at the Statistics and Quality Engineering Laboratory Universitas Indonesia. 
His current area of interest is in data analysis, finance, and production systems. 
 
Farel Hylmi H. is an undergraduate student at the Industrial Engineering Department of Universitas Indonesia. His 
current area of interest is in supply chain management. 
 
Yasmin Aziza P. is an undergraduate student at the Industrial Engineering Department of Universitas Indonesia. Her 
current area of interest is in human resources management, operation research and business intelligence.  
481"
8,The Effect Of Covid-19 On Production Plan   (Case Study: Automotive Parts Industry),"this paper will discuss the importance of preparing the change of production plan during and the effect of covid- 19 pandemic using linear forecasting (forecast.linear). many manufacturing companies are in shock because of the pandemic, from the uncertainty of government regulation and the scarcity of raw material. in addition, not only about a pandemic or epidemic, but can be a monetary crisis or other kind of uncertainties. and, adjusting the production level severely affects the supply chain, since these companies also need to adjust their production level. in the planning process, we need to know how are the customer demand to ensure the production. to forecast the customer demand, we use linear forecasting. the method we used for acquiring the data for covid lockdown are all on public domain. as for the company data, we acquire it by asking the company with the requirement that we shouldn't publish the company name in regards of company privacy. from this study, we hope a better way to adjust production level including preparing for every uncertainty could be used for better decision making in forecasting the production plan and could be used for shifting production plans when adjusting to government regulation and customer demand.","covid-19, production plan","From this paper, we concluded that there was a limited time span of countries reacting to a global pandemic. Most are in the range of 9 to 26 days (about 3 and a half weeks) from the first case to lockdown or curfew, with an average time are 27 days (about 4 weeks). The Effect of the pandemic can be seen with linear forecasting. Even though the pandemic has been a year, the effect to the automotive manufacturing sector still can be seen, affecting the demand of spare part which lower the volume need of the production.","alifarel virya, farrell dzaudan muhammad cahyana, and prima haikal hakim department of industrial engineering universitas indonesia depok, west java 16424, indonesia alifarel.virya@ui.ac.id, farrell.dzaudan@ui.ac.id, prima.haikal@ui.ac.id",
9,Employee Productivity Improvement And Skill  Enhancement In Pharmaceutical Industry,"productivity is not just about doing more, it is about creating more impact with less resources, and it can be achieved only by intelligent planning and sustained hard work. employee productivity play a vital role in any organization, it is biggest challenge to sustain with low operating cost and manpower cost with high profit margin in such competitive environment. this paper illustrate the journey to improve employee productivity and resource optimization approach in a pharmaceutical industry. the entire exercise consists study of existing process and manpower deployment pattern, identify the redundancy and bottlenecks in the current system, manpower benchmarking and comparison exercise and proposed standard manpower with skill enhancement framework. industrial engineering tools and techniques being applied in the data collection and process mapping exercise. study has been conducted in the pharmaceutical processes like- granulation, compression and coating and packaging. this paper also includes a skill enhancement framework to make the operatives’ multi skilled, thereby allowing them to work in different departments flawlessly.","manpower mapping, skill enhancement, skill mapping","As, stated in the beginning, manpower planning is the process by which management determines how an organization should move from its current manpower position to its desired manpower positions. Which eventually help the organization to sustain in terms of optimum utilization of resources, employee productivity improvement, manpower for casting with proper recruitment plan, Skill enhancement and career progression roadmap etc. Based on the study done and proposed optimum manpower with a concrete skill enhancement framework, there has been 15% saving in the manpower numbers and 10% reduction in the cost. Moreover it helps in succession planning of existing operatives with proper road map on career progression. Training plan has been shared for all the current identified skills and implemented successfully. The best practices of this study has been shared with other pharma plants and horizontal deployment in under execution. Apparently this also helped the production planning team and human resources team to work together to plan the current and future resources at optimum level. Proceedings of the International Conference on Industrial Engineering and Operations Management Bangalore, India, August 16-18, 2021","manan hingorani industrial engineering department, pandit deendayal petroleum university gandhinagar, gujarat, india mananhingorani@gmail.com nitesh jaiswal xyz pharmaceutical industry ahmedabad, gujarat, india nitesh28770@gmail.com","References 
Kazi Arif-Uz-Zaman, Md. Rezaul Hasan Shumon, Md. Habib Hasan..Industrial Engineering Techniques and 
Applications- International Conference on Mechanical, Industrial and Energy Engineering, Khulna, 
Banglades, 23-24 December, 2010.  
Kanawaty, George. Introduction to Work Study. International Labour Office, 1979. 
Reid RD, Sanders NR. Operations Management, Binder Ready Version: An Integrated Approach. John Wiley & 
Sons; 2015 Sep 28.  
M. Mahajan. Production Planning and Control. Dhanpat Rai & Co, 2018.  
Sapna Vyas, Organization Culture and Employee’s Productivity “A Study of Pharmaceutical Industry. January 
2017, pp 15-50 
Jonet, P. M. P. Process improvement in Pharmaceutical Industry through Kaizen Lean Methodology, pp 3-13, 
2014 
Gayane Gyurjyan, Shail Thaker, Kirsten Westhues, and CarlaZwaanstra. Rethinking Pharma productivity. 
January 2017. 
“Good Manufacturing Practice (GMP) Resources.” ISPE, ispe.org/initiatives/regulatory-resources/gmp. 
“Good 
Manufacturing 
Practice.” 
Wikipedia, 
Wikimedia 
Foundation, 
26 
Apr. 
2019, 
en.wikipedia.org/wiki/Good_manufacturing_practice. 
 
Biographies 
 
Manan Hingorani is now a first year M.Tech. Data Science and Analysis Student at MIT, Pune and graduated 
with B.Tech. in Industrial engineering from Pandit Deendayal Petroleum University, Gandhinagar, Gujarat, India. 
He has experience of working at a Port, in an automotive company and a pharmaceutical company. He practiced 
Industrial engineering approaches in the following companies. 
 
Nitesh Jaiswal an Industrial engineer passed out from IIT Kharagpur, presently working in as a Sr. Manager 
(Productivity Cell) at XYZ Pharmaceutical Industry Ahmedabad, Gujarat, India. He previously associated with 
Steel & Mining industry."
