,Title,Abstract,Keywords,Conclusion,Authors,References
0,Doi: 10.46254/An15.20250021  Locating Wastewater Treatment Plants In An Industrial Cluster,"pollution of freshwater sources is a major problem in many developing economies. environmental norms mandate that industrial wastewater must be treated before releasing it in the environment or recycling. apart from large enterprises, many medium and small-scale enterprises use water for industrial purposes. however, many of these enterprises do not have enough financial resources to set up their own wastewater treatment plant (wwtp). government policies encourage establishing a common set of wwtps that can service all the enterprises in an industrial cluster and will be more economical to operate. we formulate the problem of locating wwtps of appropriate sizes and allocating polluting firms to them as a mixed integer non-linear program (minlp). the model minimizes the setup cost and the operating cost for the network of wwtps. when water treatment is done through reverse osmosis, scientific literature and empirical evidence shows that there exist economies of scale with wastewater volume and diseconomies of scale with pollutant concentration. hence, the operating cost function is non-convex. we provide an exact convexification strategy for this problem. still, the commercial solvers are unable to solve practical size instances. therefore, we propose a generalized benders decomposition-based algorithm with many refinements. we exploit the structure of the problem to solve the sub-problem very efficiently. our proposed method can solve this minlp much more efficiently than commercial solvers.","wastewater, treatment plants",,amit kumar vatsa and saurabh chandra indian institute of management indore india,
1,Doi: 10.46254/An15.20250020  Does The Msme Sector Undergo Transformation In India?,"this paper traces the recent growth trends in the msme sector of india, which indicate transformation of the sector in terms of scale and expansion. given this, the factors inducing such a sectoral transformation are explored. increased investment limits, improvement in the ease of doing business through udyam portal, small finance banks, improved credit flow, vc funding, fintech financing, skill mapping and training, digital marketing including gem, open network for digital commerce, and support from leading e-commerce companies are together favorable to msme growth, scale expansion, and transformation. thereafter, the two critical challenges faced by the sector are described and policy imperatives are suggested. two key challenges have been emerging and gaining magnitude: (i) fourth industrial revolution (industry 4.0) characterized by the integration of man, machines, and production processes, and (ii) the imperativeness to achieve carbon emission reductions for sustainability, are two critical challenges which must be dealt with gradually and steadily. financial constraints, knowledge constraints, and technology information constraints would prevent msmes from overcoming these challenges on their own. policy intervention has a decisive role to play. towards this end, an annual survey of msmes is recommended. in addition, promotion of lse-msme linkages, hei-msme linkages, lse-iti linkages, exclusive small business management programs, introduction of climate finance, and differential treatment for unorganized enterprises are suggested as the remedial measures. this can smoothen the process of indian msme growth and transformation with a higher degree of competitiveness in the coming decades.","msmes, fintech, e-commerce, policy","The current MSME sector growth signals scale expansion and transformation. Though constraints persist on multiple fronts, several emerging factors are favorable to MSME growth, scale expansion, and transformation. Increased investment limits, improvement in the ease of doing business through Udyam Portal, SFBs, improved credit flow, VC funding, fintech financing, skill mapping and training, digital marketing including GeM, ONDC, and support from leading e-commerce companies are together favorable to MSME growth, scale expansion, and transformation. However, two key challenges have been emerging and gaining magnitude. (i) Fourth Industrial Revolution (Industry 4.0) characterized by the integration of man, machines, and production processes, and (ii) the imperativeness to achieve carbon emission reductions for sustainability, are two critical challenges which must be dealt with gradually and steadily. Financial constraints, knowledge constraints, and technology information constraints would prevent MSMEs from overcoming these challenges on their own. Policy intervention has a decisive role to play. Towards this end, an Annual Survey of MSMEs is recommended. In addition, promotion of LSE-MSME linkages, HEI-MSME linkages, LSE-ITI linkages, exclusive small business management programs, introduction of climate finance, and differential treatment for unorganized enterprises (for their survival) are suggested as the remedial measures. This can smoothen the process of MSME growth and transformation for greater vibrancy and competitiveness in the coming decades.","challenges and policy imperatives m h bala subrahmanya professor, department of management studies indian institute of science, bangalore india bala@iisc.ac.in",
2,Doi: 10.46254/An15.20250018  Impact Of Sustainability Supply Chain In Inducing Business,"the complexity of sustainable supply chain impedes identification of its impact on business sustainability inducement. hence, based on the research question of how sustainable supply chain affect sustainability development mexican context, this paper studies this problem by taking a case of supply chain of 35 companies that form s&p/bmv total méxico esg index. the selection of these companies is based on their efforts of integrating sustainability practices into their operations and the statement that sustainable firms induce their suppliers to be green by using environmental criteria in supplier selection process. to achieve its objective, the method of network approach analysis of supply-demand relationship is used. the findings are that the is no significant interconnection between 35 companies that form s&p/bmv total méxico esg index which means that their good sustainability practices do not depend on the supply chain relationship per see but to resource use system. hence, the sustainability supply chain- based policy is not appropriate to induce sustainability in mexico.","supply chain, network analysis","To conclude, we can ignore the high importance sustainable supply chain system has to induce sustainability development in terms of sustainable clients push their suppliers to be sustainable. However, taking S&P/BMV Total México ESG index, this relationship is not identified since 35 companies that compose this index, belong to different sector of activities and their relation is much niched by resource use system with short connectedness with at least one connection in average. Hence, in general the sustainability supply chain-based policy is not appropriate to induce sustainability in Mexico, however, Walmart and Chedraui S.A de CV can be good points to star with. Research contribution This work presents a method of analyzing complexity of supply chain to be used as a mechanism of sustainability development. Acknowledgements The authors express their gratitude to Instituto Politecnico Nacional, Mexico, for its invaluable financial support. Without this assistance, it would not have been possible to carry out this work. Referencias Arampantzi, C., & Minis, I., A new model for designing sustainable supply chain networks and its application to a global manufacturer. Journal of Cleaner Production (156), 276-292, 2017. Bouchery, Y., Corbett, C. J., Fransoo, J. C., & Tan, T., Sustainable Supply Chains: Introduction. En S. S.-B. Strategy, & C. J. Yann Bouchery (Ed.). Springer, 2017. Brandenburg, M., & Rebs, T. (). Sustainable supply chain management: a modeling perspective. Springer Science+Business Media (229), 213-252. 2015. doi:DOI 10.1007/s10479-015-1853-1 CEMEX., 16 de 01 de 2025. www.cemex.com. Obtenido de https://www.cemex.com/es/proveedores GRUPO BIMBO., Grupo Bimbo.com. Obtenido de La PROFEPA reconoce a Grupo Bimbo y 11 de sus proveedores, por llevar a cabo proyectos de sustentabilidad y cuidado del medio ambiente: 15 de 01 de 2025https://www.grupobimbo.com/es/prensa/comunicados/liderazgo/la-profepa-reconoce-grupo-bimbo-y- 11-de-sus-proveedores-por-llevar Grupo BMV. , El dinamismo del mercado: Un análisis del último rebalanceo del S&P/BMV IPC. 12 de 04 de 2024, Obtenido de https://blog.bmv.com.mx/el-dinamismo-del-mercado-un-analisis-del-ultimo-rebalanceo-del-sp- bmv-ipc/ Jiangtao Hong, Y. Z, Sustainable supply chain management practices, supply chain dynamic capabilities, and enterprise performance. Journal of Cleaner Production (172), 3508-3519. 2018. Kopnina, H., Padfield, R., & Mylan, J., Sustainable Business: Key Issues. New York: Routledge. 2023. 45","sustainability practices in mexico eugene hakizimana lecturer and researcher at escuela superior de comercio y administración (santo tomás unit), of the national polytechnic institute (ipn), mexico city-mexico ehakizimana@ipn.mx https://orcid.org/0000-0003-1804-1516 dulce maría monroy becerril lecturer, and researcher at escuela superior de comercio y administración (esca-sto), instituto politécnico nacional (ipn)-mexico dmonroyb@ipn.mx https://orcid.org/0000-0002-0787-5577 christian muñoz-sánchez professor at instituto politécnico nacional (ipn), escuela superior de comercio y administración (esca-sto) in mexico city, mexico cmunozs@ipn.mx https://orcid.org/000-0001-8692-4252 jorge alejandro silva rodríguez de san miguel professor of the instituto politécnico nacional (ipn), escuela superior de comercio y administración (esca-sto) in mexico city, mexico jasilva@ipn.mx https://orcid.org/0000-0002-0961-4696",
3,Doi: 10.46254/An15.20250015  Extending The Horizons Of Fmea: An Mcdm Approach,"failure mode effect analysis is popularly called as fmea. fmea is a pro-active tool to access potential failure modes and also evaluate the possible effects arising due to these failures. typically, a risk priority number (rpn), is evaluated for the identified failure modes. traditionally, this rpn is computed as the product of three values namely, severity, occurrence, and detectability. the range of this rpn value is from 1 up to 729. the rpn value helps the decision maker, prioritize the potential failure modes and take appropriate action/s to mitigate the risks. as rpn considers only severity, occurrence and detectability, there are chances that some significant criteria might be missed out or is not considered for evaluation. in this work we consider more than 21 criteria, which can help evaluate/quantify the potential failure modes. while, we do not claim that these criteria form an exhaustive list for the evaluation of failure modes, but will help provide a near holistic view of the problem at hand. with more than 21 criteria for performance evaluation, the rpn value will range from 1 up to 1.09419 x 1020. this is a very large number and will create computational complexities and hence very difficult to develop priorities of the failure modes. this will further have a cascading effect on developing potential strategies for mitigation of risks. here, we propose an approach to evaluate the modified rpn, by using mcdm technique/s. this approach will provide a realistic range of modified rpn, and hence help in proper evaluation of the potential failure modes. thus, this approach helps the decision maker to develop realistic strategies for mitigating risks. in this work, we not only enlist the different criteria for modified rpn evaluation, showcase the developed approach, but also illustrate the procedure with a hypothetical and real-life example. it can also be seen that, with minor modifications in the proposed procedure, this system fmea approach can be applied to process fmea as well. we hope that this work will help the decision makers make better and near holistic evaluation decisions.","fmea, mcdm approach. 29",,"prof. omkarprasad s vaidya indian institute of management, lucknow india osv@iiml.ac.in",
4,Doi: 10.46254/An15.20250011  A Mixed-Integer Programming Model For Supply Chain,"the supply chain network is a complex, interconnected system. any disruption in the flow of products or information within this network will have ripple effects, impacting other industries and partners in the supply chain. a disruption to one component of the network can lead to the isolation of certain industries. to analyze these impacts, a mixed- integer programming (mip) model is proposed. this model aims to measure the effects of disruptions on the flow of transactions between industries in saudi arabia, and how such disruptions affect the economic interdependencies across sectors. the study focuses on the 10 sectors most representative of the saudi arabian supply chain network. to evaluate the model's effectiveness, two different disruption scenarios were implemented. first, hundreds of random disruptions were generated, with one sector fully disrupted at a time. this allowed identification of the most vulnerable sector - sector 10. then, targeted disruptions were applied to specific sectors, and the results showed varying levels of impact on other affected sectors, demonstrating the complex, interdependent nature of the supply chain. this study highlights the significant impact that disruptions in one economic sector of the saudi arabian supply chain can have on other interconnected sectors, due to the high degree of interdependency within the network.","economic sector, interdependency","Disruption to any of the elements within the supply chain network, such as the nodes or transportation links, will influence the performance of many components of the supply chain network. This impact will not necessarily manifest as physical discontinuity, but rather as indirect constraints caused by the economic interdependencies that exist across the interconnected networks. In this study, the findings from the targeted and random disruption scenarios provide valuable insights into the vulnerabilities and interdependencies within the supply chain network of Saudi Arabia. The targeted disruption results demonstrate the strong connections between the Transportation Sector and the Agriculture and Chemical Products Sectors, highlighting the significant cascading impacts that can occur when these critical sectors are disrupted. Additionally, the analysis reveals the high dependency of the Food Products Sector on the Agriculture Sector, underscoring the need to address vulnerabilities in this area. The random disruption scenario further confirms the Transportation Sector as the most vulnerable economic sector, with its average performance dropping below 15% due to the disruptive impacts. These insights can inform the development of targeted strategies and policies to enhance the overall resilience and robustness of the supply chain network, ultimately improving the economic stability and sustainability of the region. By addressing the identified vulnerabilities and strengthening the interdependencies between sectors, supply chain managers and policymakers can better prepare the system to withstand and recover from potential disruptions, ensuring the continuous flow of goods and services within the Saudi Arabian economy. For future work, each sector should examine strategic approaches to expand and diversify their supplier base. This will help reduce the effects of interdependency and mitigate the risk of shortages in required elements during disruption events in any related sector. Additionally, due to the limitation in finding data for tangible products or commodities, the current model does not consider disruptions in the transportation system. Obtaining such data would improve the efficiency of the model, and the outcomes would be more beneficial for supply chain decision-makers.","resilience: identifying vulnerable sectors and interdependencies in saudi arabia mastoor m. abushaega department of industrial engineering, college of engineering and computer science, jazan university, jazan, kingdom of saudi arabia mabushaega@jazanu.edu.sa",
5,Doi: 10.46254/An15.20250017  Agent-Based Distributed Job Scheduling Algorithm,"present-day application of metaheuristic algorithms for job scheduling is highly centralized. however, the onset of industry 4.0 is rapidly changing the manufacturing paradigm from ‘centralized’ to ‘de-centralized’ production through technologies such as cyber-physical systems and industrial iot. this mandates a new generation of distributed methodologies to perform operations planning. thus, a novel decentralized algorithm, known as an agent-based job scheduling algorithm (abjs), is proposed in this work to perform the scheduling of jobs in a manufacturing flow shop environment. the problem of flow shop scheduling is solved by minimizing makespan under wide-ranging scenarios using machine agents and a scheduling agent. the abjs algorithm's superior performance for many jobs signifies its usefulness in real industrial applications.","scheduling, job sequencing. 30","This research proposes a decentralized algorithm for job scheduling in a manufacturing flow shop environment, treating the shop floor as a network of intelligent assets capable of autonomous decision-making. The problem of flow shop scheduling is addressed to minimize makespan. It is tested under various scenarios by varying three parameters: the number of jobs, the number of machines, and the variability in processing time for each job on each machine. Through simulations and evaluations, the algorithm has demonstrated comparable performance with established centralized algorithms, such as tabu search and hybrid genetic algorithm, for small problem sizes. Notably, its superior performance for a large number of jobs makes it a promising solution for real industrial scenarios. However, it is important to acknowledge certain limitations, such as for smaller problem size makespan obtained by ABJS are comparable to convention methods but the computational time may be more, due to agent to agent communication. Also, if any of the agents becomes inactive or fails to respond then the algorithm will not work. Several directions for further exploration are presented, including upgrading the optimization problem to be multi- objective by incorporating factors such as optimizing job holding time. Additionally, there is potential for expanding the scope of the algorithm by including more industrial agents, such as job agents, maintenance agents, inventory agents, etc., for more comprehensive agent-based distributed decision-making. Further improvements in the original algorithms are possible by exploring criteria to decide hyperparameters, for instance, determining the number of jobs shortlisted for each position as a function of the total idle time. Acknowledgements This work is supported by CHANAKYA Fellowships of IITI DRISHTI CPS Foundation under the National Mission on Interdisciplinary Cyber Physical System (NMICPS) of Department of Science and Technology, Government of India under grant CF-2022-PhD-000001.","for flow shop jaideep singh department of mechanical engineering indian institute of technology bombay, mumbai india jaideep7441@gmail.com, vibhor pandhare assistant professor, department of mechanical engineering indian institute of technology indore, indore india vibhorpandhare@iiti.ac.in bhupesh kumar lad professor, department of mechanical engineering indian institute of technology indore, indore india bklad@iiti.ac.in makarand s. kulkarni professor, department of mechanical engineering indian institute of technology bombay, mumbai india mskulkarni@iitb.ac.in",
6,Doi: 10.46254/An15.20250019  Effect Of Working Heights On Body Postures During Wall,"wall construction tasks involve awkward and repetitive body movements that can lead to musculoskeletal disorders (msds) and injuries. working at different heights can affect the risk of msds. however, the effect of different working heights on body postures like bending and twisting has not been fully explored. the objective of this study was to investigate the effects of working heights on bending and twisting postures during wall construction tasks. twelve male participants (age: 21.83±1.27 years) performed simulated bricklaying tasks with four different working heights (0 cm, 47 cm, 107 cm, and 142 cm) in a laboratory environment. inertial measurement unit (imu) sensors were used to collect data on participants’ actual body movements. inverse dynamics simulation was conducted to estimate posture angles. statistical tests (anova) were conducted to determine the significance of differences in postural angles across the working heights. research findings indicated that (i) the bricklaying (task-b) task significantly increased trunk bending angles compared to the mortar spreading (task-a) task (p = 0.001), while twisting angles were insignificant across the task types (p = 0.05); (ii) increasing working heights significantly reduced both bending (p < 0.001), and twisting angles (p = 0.001) during the task-a; (iii) moreover, working heights significantly influenced bending angles (p = 0.001), while twisting angles were not affected (p = 0.471) during task-b. in summary, increasing working heights significantly affects both bending and twisting postures during wall constructions. these findings highlight the importance of working heights in wall construction tasks to prevent msds risks and injuries. 47",,"This study explored how different working heights affect bending and twisting postures during wall construction tasks. From the study results the following conclusions were drawn:  The bending posture is statistically significant difference between mortar spreading and bricklaying, while twisting body posture is insignificant with these task types.  The body postures (bending and twisting angles) were significantly different with four examined working heights during mortar spreading task. The outcomes revealed that higher working heights significantly reduced both bending and twisting angles of this task.  Bending posture was significantly different with four working heights in bricklaying task. In contrast, twisting posture was insignificant with different working heights during this task.  Bending angles were reduced due to increased working heights for both mortar spreading and bricklaying tasks, while twisting angles were not reduced significantly with higher heights during bricklaying task. This research found the significant impact of varying working heights on the bending and twisting postures during wall construction tasks. Consideration of working height in designing workstations, tools and equipment are recommended to minimize the risk of musculoskeletal problems in construction workers.","construction tasks: investigation of bending and twisting movements md. sumon rahman and tatsuru yazaki division of transdisciplinary sciences graduate school of frontier science initiative kanazawa university kakumamachi, kanazawa, japan rahman@stu.kanazawa-u.ac.jp, h299792@stu.kanazawa-u.ac.jp takanori chihara faculty of frontier engineering institute of science and engineering kanazawa university kakumamachi, kanazawa, japan chihara@staff.kanazawa-u.ac.jp jiro sakamoto professor, division of transdisciplinary sciences graduate school of frontier science initiative kanazawa university kakumamachi, kanazawa, japan sakamoto@se.kanazawa-u.ac.jp",
7,Doi: 10.46254/An15.20250014  Optimising Allocation Of Electricity During Periods Of,"erratic electricity through scheduled power outages, also known as load shedding, has had different impacts on the livelihoods and businesses in south africa. this has forced organisations with vital businesses and critical electricity infrastructure to opt for alternative and reliable power supplies. using a suitable case study, we developed an adapted transportation model that could be used to allocate and distribute electricity at a minimal cost. firstly, a current state analysis was performed to allow the feasibility of allocating electricity to specific load or demand points. after the model development, the feasibility and benefits of implementing alternative power sources, such as solar, were assessed. the adapted transportation model was solved using commercial solvers to obtain a total cost of r408.66 for allocating electricity to all the required loads for one hour of load shedding. compared to the current state of only generator usage, this was a 34% decrease in company expenditure for one hour of load shedding. what-if and sensitivity analyses were conducted to investigate the feasibility of the solar power installation and the effect of changes in input parameters on the total cost of electricity allocation. recommendations to increase the impact of the findings on similar industries being affected by the just energy transition are discussed.","load shedding, optimisation",,"load shedding: a case study of a south african telecommunications company kate reuss and gbeminiyi john oyewole school of mechanical, industrial, and aeronautical engineering university of the witwatersrand, johannesburg, south africa reusskj@gmail.com, gbeminiyi.oyewole@wits.ac.za",
8,Doi: 10.46254/An15.20250022  Digital Value Stream Mapping Of Industry 4.0 Emerging,"the emerging technologies referred to as ""industry 4.0"" offer substantial competitive advantages in performance measures such as cost, quality, and time by enabling strategic and operational decision-making in manufacturing. the goal is to seamlessly connect physical and digital systems in real-time. however, industry 4.0 research often focuses on literature reviews and conceptual frameworks, lacking the comprehensive, practical insights gained from actual implementation. this gap highlights the need for a practical framework for implementing industry 4.0, similar to those found in lean literature. this study proposes a digital value stream mapping case study to implement emerging technologies by mapping and investigating the journey of a manufacturing company undergoing industry 4.0 transformation. the selected company has been digitally mapped for the implementation process and benefits obtained from emerging technologies, such as the internet of things (iot), big data, cloud computing, augmented and virtual reality, ai/ml, collaborative robots and additive manufacturing (am). the study emphasizes the importance of digital value stream mapping, providing real-life insights for practitioners and manufacturing companies embarking on the industry 4.0 journey.",industry 4.0,,"technologies: a case study of a manufacturing company sanjay choudhari associate professor, operation and quantitative method area indian institute of management indore (iim indore) india sanjay.274@gmail.com jeetendra kumar saraswat doctoral students, operation and quantitative method area indian institute of management indore (iim indore) head, operation excellence and industry 4.0 cummins technologies india pvt. limited india ef20jeetendras@iimidr.ac.in",
9,Doi: 10.46254/An15.20250025  Performance Analysis Of Retail Self-Checkouts,"most retail stores have implemented self-checkout systems to enhance checkout services and ultimately improve customer satisfaction. long lines at checkout counters can influence a customer's decision to shop at a particular retailer (chain store age, 2008). while juntti (2014) argued that self-checkout systems are costly and do not necessarily reduce transaction times or the number of customers in line, morimura and nishioka (2016) suggested that they are effective in reducing perceived waiting times. however, it has not yet been quantitatively verified whether self-checkouts actually decrease customer waiting times. this study addresses two key research questions: 1) do self- checkouts truly reduce customer waiting time? and 2) how can we determine the optimal ratio of self-checkout counters to regular cashier lanes? to investigate these questions, we developed a simulation model using arena simulation software to analyze waiting-related performance metrics such as customer waiting time and the number of customers in line at both self-checkout and regular cashier lanes. an extensive simulation study is conducted, taking into account factors such as arrival rates and the number of cashiers and self-checkout lanes, using data collected from a grocery store.","self-checkout, simulation, waiting time",,"jin kyung kwak ewha school of business ewha womans university seoul, korea jkkwak@ewha.ac.kr shu zhou and taeho park lucas college and graduate school of business san jose state university san jose, ca 95192, usa shu.zhou@sjsu.edu, taeho.park@sjsu.edu",
