,Title,Abstract,Keywords,Conclusion,Authors,References
0,Can Electric Motorcycles Overtake Two-Wheeled Gasolinepowered In Southeast Asia?,"motorcycles two-wheeled gasoline-powered with internal combustion engines (ice) and resulting co2 pollution are very large in southeast asia, including indonesia, malaysia, and vietnam. the adoption of technology innovation in electric motorcycles (em) can be utilized to achieve a target of the transport sector's zero emissions by 2050. the em technology innovation provided transportation solutions that are environmentally friendly, energy-efficient, and lower operating and maintenance costs. but, the adoption rate of em in southeast asia still needs to improve and faces challenges of adoption-diffusion problems, i.e., product, process, innovation, and business. the early adopter has inconvenience and anxiety about their daily mobility needs over long distances. the charging infrastructure and battery capacities are critical components for solving the problem. first, users with high mobility who drive beyond the maximum mileage, if they run out of power, will stop and wait a long time for the battery to be fully charged again. second, the scenario is to increase the battery capacity to 2-3 times the usual capacity to increase the vehicle's mileage without recharging it during a trip. there is an example of a dilemma in making a business strategy. will electric motorcycles fail to overtake two-wheeled gasoline-powered? can we achieve a target for the transport sector's zero emissions by 2050? the intervention instruments used early supply chain integration to solve the challenges and problems of adopting electric motorcycles in indonesia were conducted by the university centre of excellence for electrical energy storage technology, universitas sebelas maret. we also promoted an equivalent annual cost (eac) to compare the options between improving battery capacity and infrastructure of charging by considering the cost of owning, operating, and maintaining for an extended period of the electric motorcycle market. comparing the three countries is needed to obtain comprehensive input for economies of scale in global market competition. we offer to assess an em ecosystem in malaysia and vietnam. the novelty of research that is expected from this research is developing an eac model suitable for the electric motorcycle market in the southeast asian market. thus, the research results can provide the option of strategies for designing the global competitiveness of the electric motorcycle market and helping electric motorcycles overtake two-wheeled gasoline powered in southeast asia.","battery capacity, early supply chain",,"wahyudi sutopo1,2 , muhammad hisjam2, 1)university centre of excellence for electrical energy storage technology 2)research group industrial engineering and techno-economic, industrial engineering department, faculty of engineering, universitas sebelas maret, jl. ir. sutami, 36 a, surakarta, indonesia wahyudisutopo@staff.uns.ac.id; hisjam@staff.uns.ac.id sayyidah maulidatul afraah master program of industrial engineering department, faculty of engineering, universitas sebelas maret, surakarta, 57126, indonesia sayyidahmaulidatula@student.uns.ac.id azanizawati ma'aram faculty of mechanical engineering, universiti teknologi malaysia, skudai, johor baru, 81310, malaysia niza@utm.my",
1,Improving Supply Chain Resilience Against Price Volatility  By Long-Term Contracts And Price Adjustment Formulas –,"short-term supply agreements and quarterly pricing based on the log export price are dissuading investment into new zealand's wood processing, perpetuating the commoditisation of the forest industry and concentrating market risk rather than encouraging adding value onshore and market diversification. supply, demand, cost, and revenue uncertainties reduce business confidence and discourage investments. a long-term contract with price adjustment is not a zero-sum game. the transparent information, calculability, steadiness, and time for adjustments across the supply chains provide synergies and advantages for the strategic allies. to mitigate risks, long-term contracts with price adjustment clauses are frequently implemented in power generation, coal, nuclear, construction, and oil industries. this price adjustment method benefits commodity suppliers and buyers with steady product flow and long payback period capital investments. beyond cost reduction and productivity, in these lean supply chains, risk mitigation is essential for the entire payback period. usually, the allies take significant roles in each other's businesses and have a symmetric relationship. therefore, they want to build long-term partnerships rather than realise one-time gains. that paper introduces the benefits of the abovementioned solution in decreasing risks and improving supply chain resilience and profitability for all parties.","risk, long-term contract, phd",,"case study of wood processing industry in new zealand robert istvan radics senior lecturer in supply chain management faculty of agribusiness and commerce lincoln university lincoln, new zealand robert.radics@lincoln.ac.nz muhammad umar lecturer in supply chain management faculty of agribusiness and commerce lincoln university lincoln, new zealand muhammad.umar@lincoln.ac.nz",
2,Integrating Feature Engineering With Deep Learning To  Conduct Equipment Health Management For Semiconductor,"fault detection and diagnosis (fdd) and predictive maintenance (pdm) are two critical issues in equipment health management (ehm). the former aims at identifying equipment conditions (healthy vs. poor) while the latter focuses on the prediction of the remaining useful life (rul) for key components. in reality, imbalanced datasets containing limited defective samples make precise fdd very challenging. in addition, the prediction of the rul is difficult because of limited availability of true data. in this research, fdd and pdm are transformed into the prediction of probe’s core states and tip length. in particular, this research aims at accomplishing the following goals: (1) ensemble learning is used to identify key performance indicators (kpis) that significantly affect probe’s core states (classification) or tip length (regression). (2) a two-stage stacking architecture is applied to improve the predictive performances. (3) oversampling schemes are adopted to handle imbalanced datasets and improve predictive performances in core states. research findings demonstrate that vendor type, chip size, chip leads, cleaning depth, and cleaning touchdown are common kpis in probe’s core state and tip length. further, stacking architecture and oversampling can significantly improve the f measure by at least 10%.","fault diagnosis, probe length",,"manufacturing chihhsuan wang national yang ming chiao tung university, chihswang@nycu.edu.tw",
3,Analysis Of Consumer Purchase Patterns Using Frequent  Pattern Growth Algorithm (Fp-Growth),"this study aims to carry out purchase patterns using the frequent pattern growth algorithm at 212 mart pekanbaru. as modern retail, 212 mart offers a wide selection of everyday things. due to its proximity to other stores, 212 mart is under pressure to maximize its chances of attracting and keeping customers. every day, there are many transactions at 212 mart. data mining turns mountains of incompletely processed sales transaction data into knowledge that can be considered when making decisions. fp-growth uses association rules and its algorithm to identify the data set that frequently co-occurs from the data set that generates consumer buying patterns. rapidminer software is used to process the data, and 28 rules with more than 20% support and confidence more significant than 90% are produced. the outcomes of the association rules are utilized to choose which product proposals, product layouts, and promotional brochures should be replenished simultaneously.","association rules, data mining, rapidminer","Support Confidence 1 Mineral Water, Mouth Care Basic Needs 0.2172236 0.899711261 2 Mouth Care Basic Needs 0.2525445 0.902807775 3 Mineral Water, Body care Basic Needs 0.2307013 0.910992843 4 Body care Basic Needs 0.2683924 0.912899146 5 Product for Baby Basic Needs 0.1970535 0.916955017 6 Spice Basic Needs 0.2629549 0.91970091 7 Mineral Water, Spice Basic Needs 0.2247525 0.919916302 8 Noodle Basic Needs 0.2082075 0.921052632 9 Mineral Water, Laundry's Perfume Basic Needs 0.3510712 0.927212471 10 Mineral Water Basic Needs 0.8026212 0.927447506 11 Bread Basic Needs 0.4185992 0.927600412 12 Mineral Water, Bread Basic Needs 0.3635265 0.927656546 13 Candies Basic Needs 0.1965887 0.927835052 14 Chocolate Basic Needs 0.218339 0.928642024 15 Laundry's Perfume Basic Needs 0.4120928 0.928773437 16 Snack Basic Needs 0.2809871 0.929010449 17 Mineral Water, Biscuit Basic Needs 0.5979923 0.929025271 18 Milk, Bread Basic Needs 0.3421945 0.929789115 19 Mineral Water, Milk, Bread Basic Needs 0.2987405 0.929842326 20 Mineral Water, Biscuit, Bread Basic Needs 0.2738765 0.929935301 21 Mineral Water, Milk Basic Needs 0.3753311 0.929986181 22 Mineral Water, Biscuit, Laundry's Perfume Basic Needs 0.254357 0.929991504 23 Milk Basic Needs 0.4300321 0.93004322 24 Mineral Water, Snack Basic Needs 0.2305619 0.930420105 25 Mineral Water, Biscuit, Milk, Bread Basic Needs 0.2279128 0.931257121 26 Mineral Water, Biscuit, Milk Basic Needs 0.2768044 0.931789737 27 Biscuit, Bread Basic Needs 0.3142167 0.932166 28 Biscuit Basic Needs 0.6888972 0.932440083 29 Biscuit, Milk, Bread Basic Needs 0.2605847 0.932945092 30 Biscuit, Laundry's Perfume Basic Needs 0.2968351 0.93336256 31 Biscuit, Milk Basic Needs 0.315425 0.933691017 22","muhammad rizki, choiriah azmi, fitra lestari, nazaruddin, muhammad isnaini hadiyul umam industrial engineering department, faculty of science and technology universitas islam negeri sultan syarif kasim riau, indonesia muhammad.rizki@uin-suska.ac.id, choiriah.azmi@gmail.com, fitra.lestari@uin-suska.ac.id, nazar.sutan@uin-suska.ac.id, muhammad.isnaini@uin-suska.ac.id hartono department of mathematical education, faculty of tarbiyah and education universitas islam negeri sultan syarif kasim riau, indonesia hartono@uin-suska.ac.id","References 
Agrawal, Rakesh, Tomasz Imieliński, and Arun Swami.,  “Mining Association Rules between Sets of Items in 
Large Databases.” In Proceedings of the 1993 ACM SIGMOD International Conference on Management of 
Data, , 207–16, 1993. 
Agrawal, Rakesh, and Ramakrishnan Srikant.,  “Fast Algorithms for Mining Association Rules.” In Proc. 20th 
Int. Conf. Very Large Data Bases, VLDB, Citeseer, 487–99, 1994. 
Aziza, Julinia Nur Aziza. 2022. “Perbandingan Metode Moving Average, Single Exponential Smoothing, Dan 
Double Exponential Smoothing Pada Peramalan Permintaan Tabung Gas LPG PT Petrogas Prima Services.” 
Jurnal 
Teknologi 
dan 
Manajemen 
Industri 
Terapan 
(JTMIT) 
1: 
35–41. 
http://jurnal-
tmit.com/index.php/home/article/view/8 (May 30, 2022). 
Castro R, Luis Fernando, Esperanza Espitia P, and Andrés Felipe Montilla.,  “Applying CRISP-DM in a KDD 
Process for the Analysis of Student Attrition.” In Colombian Conference on Computing, Springer, 386–401, 
2018. 
Chailes, Anwan, and Aditiya Hermawan. ,  “Application of Data Mining Method to Determine Purchasing 
Patterns Using Apriori Algorithms and Fp-Growth in Mukara Stores.” ALGOR 1(2): 1–8, 2020. 
Griva, Anastasia, Cleopatra Bardaki, Katerina Pramatari, and Dimitris Papakiriakopoulos.,  “Retail Business 
Analytics: Customer Visit Segmentation Using Market Basket Data.” Expert Systems with Applications 100: 
1–16, 2018. 
Han, Jiawei, Jian Pei, Yiwen Yin, and Runying Mao. ,  “Mining Frequent Patterns without Candidate Generation: 
A Frequent-Pattern Tree Approach.” Data mining and knowledge discovery 8(1): 53–87, 2004. 
Hernando, Luki. ,  “Algoritma Apriori Dan Fp-Growth Untuk Analisa Perbandingan Data Penjualan Leptop 
Berdasarkan Merk Yang Diminati Konsumen (Studi Kasus: Indocomputer Payakumbuh).” Jurnal J-Click 
6(1): 1–17, 2019. 
Ilham, Ahmad et al.,  “Market Basket Analysis Using Apriori and FP-Growth for Analysis Consumer Expenditure 
Patterns at Berkah Mart in Pekanbaru Riau.” In Journal of Physics: Conference Series, IOP Publishing, 
12131, 2018. 
Kuo, R J, S Y Lin, and C W Shih., “Mining Association Rules through Integration of Clustering Analysis and Ant 
Colony System for Health Insurance Database in Taiwan.” Expert Systems with Applications 33(3): 794–
808, 2007. 
Kuo, Ren-Jieh, Monalisa Gosumolo, and Ferani E Zulvia. , “Multi-Objective Particle Swarm Optimization 
Algorithm Using Adaptive Archive Grid for Numerical Association Rule Mining.” Neural Computing and 
Applications 31(8): 3559–72, 2019. 
Kuo, RJ et al. 2018. “Integration of Growing Self-Organizing Map and Bee Colony Optimization Algorithm for 
Part 
Clustering.” 
Computers 
& 
Industrial 
Engineering 
120: 
251–65. 
https://www.sciencedirect.com/science/article/pii/S0360835218301888 (June 5, 2022). 
Nasyuha, Asyahri Hadi et al. 2020. “Frequent Pattern Growth Algorithm for Maximizing Display Items.” 
23"
4,Electric Motorcycle Market Projection Based On Subsidy  And Incentive Policies In Indonesia,"the paris agreement involves 195 countries, including indonesia, that have signed the agreement to commit to reducing the number of carbon emissions that cause climate change. under the agreement, indonesia has committed to reducing around 29% to 41% of total carbon emissions by 2030 by environmentally friendly transition technology. the minister of industry has targeted a total national production for electric motorcycles in 2030 of 2 million vehicles. as a government effort to achieve this target, the government issued some subsidies and incentives policy. the policy is contained in presidential regulation number 55 of 2019 concerning the acceleration of the battery-based electric motor vehicle program for road transportation which is the highest policy basis and has resulted in several policies from the technical ministries under it. this study aims to determine the effectiveness of subsidy and incentive policies through a market projection model for electric motorcycles. market projections are carried out using dynamic system modeling by the technology transition by considering 4 factors (users, manufacturers, infrastructure, authorities) which are believed to affect the willingness to consider (wtc) of the user to buy electric motorbikes. the model refers to powertrain technology transition market agent model (pttmam) and uses powersim studio 10 simulation software. this study simulates 19 subsidy and incentive policies in indonesia, including 11 subsidy and incentive policies for manufacturers, 6 for users, and 2 for infrastructure providers. the results of the simulation show that market projections are believed to influence consumer considerations in purchasing electric motorcycle vehicles in indonesia.","dynamic system, market projection",,"roni zakaria raung1), wahyudi sutopo2), muhammad hisjam3) 1,2,3)teknik industri, fakultas teknik, universitas sebelas maret surakarta, jl. ir. sutami, 36a, surakarta, jawa tengah, 57126 indonesia djoni hartono4) 4)departemen ekonomi, fakultas ekonomi dan bisnis, universitas indonesia, pondok cina, kecamatan beji, kota depok, jawa barat, 16424 indonesia ronizakaria@staff.uns.ac.id , wahyudisutopo@staff.uns.ac.id, hisjam@staff.uns.ac.id, djoni.hartono@ui.ac.id",
5,"Agro-Food Innovation In Thailand: An Investigation Of The  Current Practices, Challenges And Opportunities","the current challenge to meet consumer demands to increase food production and maintain food security is becoming more complex due to climate change, land degradation, and the conversion of forests. the limited capacity of smallholder farmers as food producers is the suspicion of a shift in r&d priorities from agriculture to industry in southeast asia and other developing countries, followed by a widening gap in the absorption capacity of r&d. this path leads to severe threats to food security in most developing countries. sustainable agriculture cannot be achieved only by consistent adherence to ecological principles. agriculture should aim to provide economic benefits and incentivize farmers to stay in their current roles as critical actors in food production and innovation process. thailand board of investment (boi) attempted to support thai and international investors and encourage them to invest in research and development in food industry. the government expected that agro-food industry will generate 7% of gdp focusing on research and development and productivity improvement. this study aims to examine the current practices of agro-food innovations in thailand, for developing new business models by addressing the challenges and exploiting the opportunities. eight business experts and practitioners have been interviewed as the first step qualitative research to develop some understandings on the complexity of the current practices. the current practices in the thailand agro-food industry have been examined from an innovation perspective, covering initiation, collaboration, local customization, product innovation, process innovation, position innovation, and paradigm innovation. the thematic analysis indicates that thailand's agriculture and food industries are dynamic and diverse, with opportunities for new products to target five distinctive food categories, namely mass market, premium, health and beauty, niche, and low cost. the emerging information technologies and the varied consumer demands have created opportunities for product innovation, echoed by investment capital and the emerging technologies with new start-ups in the food industry. for instance, the consumers have displayed their shifting trends in favor of time-saving, plant-based, and nutrition rich agro-food products. however, the challenging issues remain in realizing the full potentials of the agro-food innovation in thailand, which include but not limited to financial and quality infrastructural availabilities, cultural diversity and regulatory constrains, which consequently create considerable challenges for the collaborations between different businesses to developing new products. the challenges must be addressed for collaborations between the engaged parties which is imperative for agro-foods innovation.","agro-food, innovation, bristol",,"miss naphatr sathapornpong, dr. buddhi pathak and dr. ximing ruan college of business and law, uwe bristol naphatr2.sathapornpong@live.uwe.ac.uk buddhi.pathak@uwe.ac.uk ximing.ruan@uwe.ac.uk",
6,Standard Product Based Manufacturing: A Case Study Of  Engineering Equipment Manufacturer,"this paper is a case study of an engineering and manufacturing company which designs, manufactures, and services equipment used in the extraction of petroleum and natural gas. the company faced the challenge of long lead time for its products. a study was undertaken for one of the products to reduce the lead time. study involved mapping all processes from order receipt till dispatch that includes identification of value added and non-value-added processes /activities with recommendation for better utilization of available resources. study included process mapping for design, procurement, assembly, painting and dispatch, value added and non value added activities were identified, process analysis was undertaken and suggestions for improvements were made. it was observed that the company followed “project based manufacturing” which made the critical path longer. there are only minor changes in design of most of the products. the analysis suggested the company to move from project based manufacturing to standard product based manufacturing for the studied product which will improve the information flow and throughput time. changing to “standard product” thus helped in eliminating some non-value-added processes. in order to keep the benefits for longer period and get sustained improvements, few more suggestions were given. key words: process analysis, lead time, project management, critical path 1. introduction: the studied company is into manufacturing of engineering machinery and equipment having headquarter in united states of america (usa). the company designs, manufactures, and services equipment used in the extraction of petroleum and natural gas. the products of the company includes turbo and reciprocating air compressors, steam turbines, industrial and aero-derivative gas turbines, high-speed engines, and modular power substations. the company has a presence in over 150 countries, including the united states, france, spain, germany, norway, brazil, india, russia, poland, saudi arabia, china, and the netherlands. orders received for various products by the company were treated as a project by the company as each order requires some customisation. the company was facing a challenge of longer lead time its products. this study is for one of the products i.e. air compressors offered by the company. the management of the company planned to implement lean philosophy for an overall improvements in the working of the company and reduce the lead time of air compressors from an average of 11 months to 6-7 months. with the help of industry experts a process mapping study using lean philosophy was undertaken to reduce the lead time. this study focuses on all the processes from order receipt till dispatch for the product air compressor. the process analysis includes identification of value added (va) and non-value-added (nva) processes / activities. the study includes process mapping for design, procurement, assembly, painting and dispatch. further recommendation for overall improvement in working and for better utilization of available resources were also made. 29",,The results of complete analysis have been tabulated in table below for ready,"nilesh pendharkar phd scholar, school of management, pandit deendayal energy university, india nilesh.pphd19@spm.pdpu.ac.in sudhir yadav, phd, professor, school of management, pandit deendayal energy university, india sudhir.yadav@spm.pdpu.ac.in",
7,Integrated Scheduling Of Operations And Maintenance For  Power Networks With Load Priority:,"maintaining a reliable electrical power network is crucial for the national economy, especially in a developing and motivated country. this can be achieved through optimal maintenance and operation (power generation and transmission) of the energy system, including generators and transmissions lines. furthermore, uninterrupted power supply is essential for certain sectors such as hospitals or industrial zones. this research proposes a mathematical model that can be used to optimize the integrated problem of maintenance and operation of the energy system considering the sufficient power supply to critical units. the objectives are to minimize the total power deficits in the network and the total operation and maintenance cost, while ensuring a reliable power supply to critical units. a matheuristic is developed to deal with large-scale problems. this solution approach combines a genetic algorithm using elitism criteria and the relaxed mathematical model with bounding updates. ieee data sets are used to test the mathematical model and the matheuristic. the case study shows the effectiveness of the proposed matheuristic which achieves 100% electrical demand fulfillment for critical units and reduces computational time by about 30%.","energy system, matheuristic",,"a metaheuristic approach nguyen ngoc minh department of industrial management national taiwan university of science and technology taipei, taiwan school of industrial engineering and management international university, vietnam national university ho chi minh city, vietnam nnminh@hcmiu.edu.vn vincent f. yu department of industrial management national taiwan university of science and technology taipei, taiwan vincent@mail.ntust.edu.tw",
8,Implementation Of Abc Classification And Economic Order  Quantity (Eoq) To Reducing Ordering Cost: A Case Study,"an inventory management affects carrying cost, ordering cost, and shortage cost. so, success in business management must be considered the good inventory management system, especially the small medium enterprise (sme). the effective categorization of materials is also important to prioritize and optimize inventory management which the material disbursement in the warehouse system more efficient. in this study, the cause of the problems was analyzed by fishbone diagram. it was found the main cause of the ordering cost was because the inventory was unclassified. then, the abc classification was used to classify the material product groups. for all groups (abc) use the economic order quantity model for order quantity planning. after implementation, the total cost of group a was reduced by thb 128,737 per year. group b was reduced by thb 76,982 per year and group c was reduced by thb 122,757 per year.",,"A conclusion This research aims to improve and reduce inventory costs of a machinery manufacturing company. From the results of the study of the problem analysis from the fishbone, the researcher found the exact cause of the problem, which is the lack of a storage system to classify the material and the lack of quantification in the process. Order that 245,643 117,289 236,791 64,177 39,834 70,816 0 50,000 100,000 150,000 200,000 250,000 300,000 A B C Ordering Cost ()THB Group Orderung cost/year (Baht) Current Ordering cost/year (Baht) EOQ 50,631 19,079 17,269 64,560 37,148 51,941 0 10,000 20,000 30,000 40,000 50,000 60,000 70,000 A B C Storage Cost ()THB Group Storage cost/year (Baht) Current Storage cost/year (Baht) EOQ 45","on small medium enterprise (sme) sawat pararach and watthanaphong muanme faculty of engineering, thammasat school of engineering, thammasat university, rangsit campus khlong luang, pathum thani - 12120, thailand. psawat@engr.tu.ac.th, wattanaphong@outlook.co.th","References  
McHugh, T. Supply Chain Management in the Clinical laboratory. Clinical Leadership and management Review, 
20(1), 2003. 
Roach B., Origins of the Economic Order quantity Formula, Washburn University School of Business Working Paper 
Series, Kansas, 2005. 
Hax, A.C. and Candea, D., Production and Operations Management, Englewood Cliffs, NJ: Prentice-Hall (ISBN 
9780137248803), 1984. 
Hillier, F.S., and Hillier, M.S., Introduction to Management Science – A modeling and Case Studies Approach with 
Spreadsheets, 2nd ed., New Delhi: Tata McGraw-Hill Publishing Company Limited, 2005. 
Anderson, D.R., Sweeney, D.J., and William, T.A., Quantitative Methods for Business, 10th ed., India: Thomson 
Southwestern, 2006. 
Hariga, M., An EOQ model for deteriorating items with time-varying demand, Journal of Operational Research 
Society, 1996; 47:1228-1246. 
Bose, S., Goswami, A., and Chaudhuri, K.S., An EOQ model for deteriorating items with linear time-dependent 
demand rate and shortages under inflation and time discounting, Journal of Operational Research Society, 1995; 
46: 775-782. 
Hariga, M., Economic analysis of dynamic inventory models with non-stationary costs and demand, International 
Journal of Production Economics, 1994; 36: 255-266. 
Tsao, Y.C. and Sheen, G.J., Dynamic pricing, promotion, and replenishment policies for a deteriorating item under 
permissible delay in payment, Computers and Operations Research, 2008; 35: 3562-3580. 
Tripathy, P.K., Pattnaik, M. and Tripathy, P.K., The finite Horizon Trended Continuous Inventory Replenishment and 
Pricing Problems for Deteriorating Items with Stock and Price Sensitive Demand, Revista Investigation 
Operational, 2012; 33: 1-12 
Pattnaik, M., Decision-making for a single item EOQ model with demand-dependent unit cost and dynamic setup 
cost, The Journal of Mathematics and Computer Science, 2011; 3(4): 390-395. 
Cinzia Muriana 2016 An EOQ model for perishable products with fixed shelf life under stochastic demand conditions, 
European Journal of Operational Research Vol. 255, Issue 2, pp. 388-396 
Ata Allah Taleizadeh, David W. Pentico,  An economic order quantity model with a known price increase and partial 
backordering, European Journal of Operations Research, Vol. 228, Issue 3, pp. 516-525, 2013 
46"
9,Pot-Hole Detection And Reporting System   Using Deep Learning,"pot-holes are a prevalent problem that affects the effective functioning of the road infrastructure. they cause a high number of road accidents, and vehicle damage, resulting in higher maintenance costs. effective strategies are therefore required to report potholes to road maintenance authorities and thus facilitate constant upkeep and repair. this study focuses on the development of a deep-learning-based pothole detection and reporting system, to assist road maintenance personnel in making informed road repair decisions. a yolov5 model is developed and trained using a custom dataset containing pothole images obtained from a survey conducted by the researcher, as well as online sources. the model is integrated into the overall system, to facilitate the detection of potholes from uploaded images. comprehensive data visualizations are created, with the location of detected potholes added to a map. pothole maintenance procedures are implemented to ensure that the pothole information in the system is accurate and up to date. overall, the system provides a clear and concise viewpoint from which road repair decisions can be made and justified.","pothole detection, reporting system, deep learning","This study presented a deep-learning-based pothole detection and reporting system that provides comprehensive data visualizations. The first objective of the study was achieved by creating a user interface feature to upload or capture an image. To capture additional information on potholes in the specified collection region, a questionnaire survey was implemented where system users could provide more context on the state of the road based on their perspective. The second objective was achieved by using a member of the YOLO family of algorithms (YOLOv5) to build a model to detect potholes. To make the trained model available to other system components, it was then embedded in a FASTAPI application and deployed to a cloud environment. The third and fourth objectives were successfully met. Before pothole detection, an image verification step was implemented, to check if the contained location information of where it was captured. If the information was available, the user would then submit their pothole detection request. Upon successful detection, the location metadata captured was used to add the detected potholes on a map. Visualization reports within the defined dashboards would then be updated accordingly. The fifth objective was also met as all registered system users were able to receive email notifications upon successful pothole detection. A pothole maintenance process was also implemented to ensure that the pothole information in the system portrayed an accurate view of the state of the road infrastructure. All these features led to the successful implementation of a system that supports informed road repair decision-making.","wellington t. mpofu, belinda ndlovu, sibusisiwe dube, joseph mutengeni department of informatics and analytics national university of science and technology bulawayo, zimbabwe wellington.t.mpofu@gmail.com, belinda.ndlovu@nust.ac.zw, sibusisiwe.dube@nust.ac.zw, joseph.mutengeni@nust.ac.zw",
